OBJECTID,HUC12_CODE,HUC12_NAME,HUC12_TYPE,HUC12_HYDRO_MOD_CODE,DOWNSTREAM_HUC12_CODE,SHAPE__Area,SHAPE__Length
138,071200060303,Goose Lake Branch Canal,S,"IT,DD,TF",071200060303,127889445.910156,63636.0712414347
139,071200060401,North Lake,C,"NC,TF",071200060401,49592098.7851563,37675.6592534754
201,071200061005,Channel Lake,M,TF,071200061005,92739943.921875,48817.9582413185
202,071200061006,Bassett Creek-Fox River,S,TF,071200061006,170952831.230469,91992.2809123266
232,071200060901,Town of Alden,S,NM,071200060901,49138342.6640625,35771.293823364
241,071200060802,North Branch Nippersink Creek,S,TF,071200060802,190073356.890625,101296.766545594
242,071200060801,West Branch North Branch Nippersink Creek-North Branch Nippersink Creek,S,NM,071200060801,144429256.273438,66379.8382556382
243,071200060903,Headwaters Nippersink Creek,S,TF,071200060903,87344603.109375,73716.5258229067
244,071200060907,Nippersink Creek,S,TF,071200060907,89430088.6953125,51131.3035190338
1628,071200060101,Poplar Creek,S,TF,071200060101,124425297.675781,65276.500234282
1629,071200060102,Village of Sussex-Fox River,S,TF,071200060102,233969783.777344,109696.184948422
1630,071200060103,Pewaukee River,S,TF,071200060103,186029522.59375,83653.3986004843
1631,071200060104,Pebble Creek,S,TF,071200060104,88408404.203125,60245.8712247465
1681,071200060203,Mukwonago River,S,TF,071200060203,142185291.089844,72404.3690286246
1682,071200060105,City of Waukesha-Fox River,S,TF,071200060105,82993033.2070313,60530.7648646474
1683,071200060201,Jericho Creek,S,TF,071200060201,95037813.015625,63713.1691778743
1684,071200060202,Eagle Spring Lake,S,TF,071200060202,146343498.320313,69089.836689895
1685,071200060301,Little Muskego Lake,S,TF,071200060301,65747617.734375,47563.3318582357
1686,071200060302,Muskego Lake,S,TF,071200060302,96940288.1992188,68764.2083956543
1687,071200060304,Wind Lake Drainage Canal,S,"DD,TF",071200060304,137823407.355469,79782.9196185164
1688,071200060402,Silver Lake-Sugar Creek,S,TF,071200060402,137206771.386719,70699.3202643974
1689,071200060403,Lake Wandawega-Sugar Creek,S,TF,071200060403,70244815.34375,54145.0304507362
1690,071200060404,Sugar Creek,S,TF,071200060404,88726025,61336.7004126236
1691,071200060501,Lauderdale Lakes-Honey Creek,S,TF,071200060501,181230245.398438,83476.6699339896
1692,071200060502,Spring Creek-Honey Creek,S,TF,071200060502,93985978.9101563,49546.570094011
1693,071200060503,Honey Creek,S,TF,071200060503,165279041.046875,101441.070045415
1694,071200060601,Como Creek,S,TF,071200060601,80918660.53125,61464.7681572395
1695,071200060602,Lake Geneva-White River,S,TF,071200060602,188478100.691406,90599.0700162329
1696,071200060603,Ore Creek,S,NM,071200060603,84816123.9648438,50132.8164474628
1697,071200060604,White River,S,TF,071200060604,190209580.464844,108190.983241697
1698,071200060701,Genesee Creek,S,TF,071200060701,137728278.957031,67690.3341421546
1699,071200060705,Tichigan Lake-Fox River,S,TF,071200060705,125963244.253906,69384.1949782134
1700,071200060702,Pebble Brook,S,TF,071200060702,86013177.3046875,55346.9522928052
1701,071200060703,Mill Brook-Fox River,S,TF,071200060703,146120027.203125,99026.3495337929
1702,071200060704,Village of Big Bend-Fox River,S,TF,071200060704,133382664.171875,63799.9414838667
1703,071200060706,Eagle Creek,S,TF,071200060706,85854194.5820313,63778.0424672605
1704,071200060707,Long Lake-Fox River,S,TF,071200060707,59560191.0078125,52633.1895851522
1705,071200061001,Hoosier Creek,S,TF,071200061001,102579043.011719,59324.8072756781
1706,071200061002,Spring Brook-Fox River,S,TF,071200061002,63628412.734375,52657.6659761027
1707,071200061003,Palmer Creek-Fox River,S,TF,071200061003,180944781.738281,81912.7157125072
