HUC12,HUC12_NAME,States,AREA IN ACRES,Percent Agriculture,Percent Developed,Percent Undetermined,Percent Undeveloped,Percent No Data,Percent Surface Water,Percent Wetland,Percent Woodland,Point Source lbs per year,NonPoint Source lbs per year,NonPoint Source lbs per acre
71200061006,Bassett Creek-Fox River,"IL,WI",22928.58,31.7,12.5,0.6,9.2,18.9,4.2,12.8,8.3,918,3578,0.156049781
71200061005,Channel Lake,"IL,WI",12445.5,25.4,8.9,0,4.9,12.6,3.9,6.4,3,0,1572,0.126310685
71200060105,City of Waukesha-Fox River,WI,10952.6,1.6,32.5,1,5.7,0,0.7,3.5,1.1,8221,852,0.077789727
71200060601,Como Creek,WI,10823.09,29.5,9.5,0.2,7.4,0,4.4,4.6,6.6,1076,3940,0.364036558
71200060706,Eagle Creek,WI,11448.6,66.2,4.3,0.1,1.6,0,2.6,4.3,3.3,1476,2053,0.179323276
71200060202,Eagle Spring Lake,WI,19428.99,38,12.3,0,9.8,4.2,2.5,7.2,15.8,0,917,0.047197517
71200060701,Genesee Creek,WI,18219.72,21.7,26.1,0.8,10.6,0,1.3,14.3,7.4,0,1801,0.098848917
71200060303,Goose Lake Branch Drainage Canal,WI,17023.72,76.9,6.3,0,1.6,0,0.4,3.9,3.7,217,14843,0.871900995
71200060903,Headwaters Nippersink Creek,"IL,WI",11737.21,32.3,,,,,,,,,,
71200060503,Honey Creek,WI,22005.56,54.5,8.5,2,5.2,0,1.8,14.2,11,0,3496,0.158868943
71200061001,Hoosier Creek,WI,13698.12,57.7,4.2,0.4,6.5,0,2,6.3,5,0,2940,0.214627992
71200060201,Jericho Creek,WI,12590.15,32.4,18.8,0,6.4,0,0.2,3.3,7.6,0,657,0.052183659
71200060602,Lake Geneva-White River,WI,25247.26,16.8,26.9,0.8,14.4,0,24.7,9.2,13.4,0,4708,0.186475686
71200060403,Lake Wandawega-Sugar Creek,WI,9360.89,44.5,6.5,0.7,0.7,0,0.8,7.8,5.8,0,6259,0.668632765
71200060501,Lauderdale Lakes-Honey Creek,WI,24114,63.8,9.2,0.4,5.7,0,4.6,7.1,10,0,3020,0.125238475
71200060301,Little Muskego Lake,WI,8705.74,13,17.8,1.2,5,0,2.4,2.7,2.9,0,2086,0.239612055
71200060707,Long Lake-Fox River,WI,7941.54,26.9,6.3,0.6,4,0,1.6,5.9,5.3,3066,297,0.037398285
71200060703,Mill Brook-Fox River,WI,19352.04,21.6,24.1,0,9.6,0,1.7,23.8,5.3,0,1782,0.092083306
71200060203,Mukwonago River,WI,18879.63,23,17.6,0.1,13.3,0,7.3,11.8,11.9,0,2756,0.145977407
71200060302,Muskego Lake,WI,12857.3,27.7,10.4,1.5,4.5,0,9.6,11.2,2.3,0,1769,0.137587176
71200060907,Nippersink Creek,"IL,WI",12026.15,,,,,,,,,,,
71200060802,North Branch Nippersink Creek,"IL,WI",25508.33,26.3,14.3,0.1,5,42.3,7.1,7.6,4.1,0,2343,0.091852357
71200060401,North Lake Non-Contributing Area,WI,6600.51,65.2,1.4,0.4,2,0,1,0.4,4.6,0,3973,0.601923278
71200060603,Ore Creek,WI,11326.75,73.7,2.6,0,2.8,0,0.1,4,3.1,0,10499,0.926920456
71200061003,Palmer Creek-Fox River,WI,24213.64,53.4,9,0.5,12.6,0,1.4,16.1,8.1,30,8192,0.338321701
71200060702,Pebble Brook,WI,11377.74,18.9,18.2,0.5,5.4,0,0.3,10,4.4,0,2086,0.18334039
71200060104,Pebble Creek,WI,11673.93,25.7,18.1,0,7.9,0,0.3,6.7,3.9,0,4016,0.344014398
71200060103,Pewaukee River,WI,24513.44,11.4,45.9,0,15.6,0,11.5,12.6,6.1,0,5872,0.23954209
71200060101,Poplar Creek,WI,29182.82,5.2,36.6,0.6,10,0,0.7,11.1,3.6,10,7941,0.483180201
71200060402,Silver Lake-Sugar Creek,WI,18301.01,67.4,9.5,0.3,5.1,0,1.1,6.2,3,0,13801,0.754111268
71200061002,Spring Brook-Fox River,WI,8503.52,28.7,9.3,1.7,3.5,0,1.5,4.5,4.7,0,836,0.098312253
71200060502,Spring Creek-Honey Creek,WI,12504.81,50.5,9.1,0.7,4.9,0,0.5,7.5,3.4,0,6234,0.498528228
71200060404,Sugar Creek,WI,11826.79,52.1,4.1,0.3,5.2,0,0.2,5.2,9.3,10,5089,0.430294109
71200060705,Tichigan Lake-Fox River,WI,16749.3,38.2,13.9,1,4.8,0,6,11.1,7.3,0,687,0.041016634
71200060901,Town of Alden,"IL,WI",6603.2,,,,,,,,,,,
71200060704,Village of Big Bend-Fox River,WI,17695.1,39.4,13,1.5,7.2,0,1.7,15.1,7.2,0,1664,0.094037317
71200060102,Village of Sussex-Fox River,WI,30779.34,16.7,48.1,4.8,21,0,1.2,26.8,6,2705,10186,0.330936314
71200060801,West Branch North Branch Nippersink Creek-North Branch Nippersink Creek,"IL,WI",19381.45,60.8,3.6,0.4,2,16.5,0.8,5,4.2,0,15220,0.785286879
71200060604,White River,WI,25428.02,45.4,11.3,0.6,11.2,0,2.1,18.5,15,2234,10999,0.432554281
71200060304,Wind Lake Drainage Canal,WI,18319.04,46.5,11.7,0,3.5,0,6.5,12.7,6.7,1257,17901,0.977180016
