HUC12,HUC12_NAME,Point Source lbs per year,NonPoint Source lbs per year,NonPoint Source lbs per acre
071200061006,Bassett Creek-Fox River,918,3578,0.156049781
071200061005,Channel Lake,0,1572,0.126310685
071200060105,City of Waukesha-Fox River,8221,852,0.077789727
071200060601,Como Creek,1076,3940,0.364036558
071200060706,Eagle Creek,1476,2053,0.179323276
071200060202,Eagle Spring Lake,0,917,0.047197517
071200060701,Genesee Creek,0,1801,0.098848917
071200060303,Goose Lake Branch Drainage Canal,217,14843,0.871900995
071200060903,Headwaters Nippersink Creek,,,
071200060503,Honey Creek,0,3496,0.158868943
071200061001,Hoosier Creek,0,2940,0.214627992
071200060201,Jericho Creek,0,657,0.052183659
071200060602,Lake Geneva-White River,0,4708,0.186475686
071200060403,Lake Wandawega-Sugar Creek,0,6259,0.668632765
071200060501,Lauderdale Lakes-Honey Creek,0,3020,0.125238475
071200060301,Little Muskego Lake,0,2086,0.239612055
071200060707,Long Lake-Fox River,3066,297,0.037398285
071200060703,Mill Brook-Fox River,0,1782,0.092083306
071200060203,Mukwonago River,0,2756,0.145977407
071200060302,Muskego Lake,0,1769,0.137587176
071200060907,Nippersink Creek,,,
071200060802,North Branch Nippersink Creek,0,2343,0.091852357
071200060401,North Lake Non-Contributing Area,0,3973,0.601923278
071200060603,Ore Creek,0,10499,0.926920456
071200061003,Palmer Creek-Fox River,30,8192,0.338321701
071200060702,Pebble Brook,0,2086,0.18334039
071200060104,Pebble Creek,0,4016,0.344014398
071200060103,Pewaukee River,0,5872,0.23954209
071200060101,Poplar Creek,10,7941,0.483180201
071200060402,Silver Lake-Sugar Creek,0,13801,0.754111268
071200061002,Spring Brook-Fox River,0,836,0.098312253
071200060502,Spring Creek-Honey Creek,0,6234,0.498528228
071200060404,Sugar Creek,10,5089,0.430294109
071200060705,Tichigan Lake-Fox River,0,687,0.041016634
071200060901,Town of Alden,,,
071200060704,Village of Big Bend-Fox River,0,1664,0.094037317
071200060102,Village of Sussex-Fox River,2705,10186,0.330936314
071200060801,West Branch North Branch Nippersink Creek-North Branch Nippersink Creek,0,15220,0.785286879
071200060604,White River,2234,10999,0.432554281
071200060304,Wind Lake Drainage Canal,1257,17901,0.977180016
